Location,HealthcareName,ServiceType
Chatham-Kent,Alzheimer Society of Chatham-Kent,Community Support Service
Owen Sound,Alzheimer Society of Grey-Bruce,Community Support Service
Kingston,Alzheimer Society of Kingston,Community Support Service
London,Alzheimer Society of London and Middlesex,Community Support Service
Bracebridge,Alzheimer Society of Muskoka,Community Support Service
St. Catharines,Alzheimer Society of Niagara Region,Community Support Service
North Bay,Alzheimer Society of North Bay and District,Community Support Service
Ottawa,Alzheimer Society of Ottawa and Renfrew County,Community Support Service
Mississauga,Alzheimer Society of Peel,Community Support Service
Stratford,Alzheimer Society of Perth County,Community Support Service
Sault Ste. Marie,Alzheimer Society of Sault Ste. Marie and Algoma,Community Support Service
Windsor,Alzheimer Society of Windsor and Essex County,Community Support Service
Amherstburg,Amherstburg Community Services,Community Support Service
Barrie,Barrie Area Native Advisory Circle (Banac),Community Support Service
Toronto,Bernard Betel Centre for Creative Living,Community Support Service
Toronto,Balance for Blind Adults,Community Support Service
Kenora,The Board of Management of the District of Kenora Home for the Aged,Community Support Service
Petawawa,Bonnechere Algonquin Health Care Service,Community Support Service
Brantford,Boys' and Girls' Club of Brantford,Community Support Service
Barrie,Brain Injury Services of Simcoe County Inc. (Biss),Community Support Service
Brampton,Brampton Meals on Wheels,Community Support Service
Barrie,"Canadian Red Cross Society - Ontario Zone, Northumberland",Community Support Service
Caledon,Caledon Community Services,Community Support Service
Caledon,Caledon Meals on Wheels,Community Support Service
Hamilton,Catholic Family Services of Hamilton,Community Support Service
Sydenham,Southern Frontenac Community Services Corporation,Community Support Service
Markham,Cerebral Palsy Parent Council of Toronto (Participation House),Community Support Service
Oro-Medonte,Chippewas of Mnjikaning First Nation,Community Support Service
Toronto,City of Toronto - Long-Term Care Homes & Services  (Supportive Housing),Community Support Service
Bancroft,Community Care for North Hastings,Community Support Service
Belleville,Community Care for South Hastings Inc.,Community Support Service
Peterborough,Community Care Peterborough,Community Support Service
Geraldton,Corporation of the Municipality of Greenstone,Community Support Service
Richards Landing,Corporation of the Township of St. Joseph,Community Support Service
Ailsa Craig,Craigwiel Gardens,Community Support Service
Barrie,Deaf Access Simcoe-Muskoka Inc.,Community Support Service
Mississauga,Dixie Bloor Neighbourhood Drop-in Centre,Community Support Service
Hamilton,Dr. Bob Kemp Hospice Foundation Inc.,Community Support Service
Erin,East Wellington Community Services Inc.,Community Support Service
Eganville,Eganville and District Senior Citizens' Needs Association,Community Support Service
Elliot Lake,Elliot Lake Palliative Care Program,Community Support Service
Chatham-Kent,Family Service Kent/services a La Famille-Kent,Community Support Service
Fort William 52,Fort William First Nation,Community Support Service
Toronto,Fred Victor Centre,Community Support Service
Gravenhurst,Gravenhurst Senior Citizens Club Inc.,Community Support Service
Barrie,Grove Park Home for Senior Citizens,Community Support Service
Guelph,Guelph Independent Living,Community Support Service
Hamilton,Hamilton East Kiwanis Boys' and Girls' Club - Adult Day Program,Community Support Service
Toronto,Harmony Hall/call-a-Service Inc.,Community Support Service
Toronto,Hazel Burns Hospice,Community Support Service
Brampton,Holland Christian Homes Inc.,Community Support Service
Caledon,Hospice Caledon,Community Support Service
Collingwood,Hospice Georgian Triangle,Community Support Service
Kingston,Hospice Kingston,Community Support Service
Napanee,Hospice Lennox & Addington,Community Support Service
Barrie,Hospice Simcoe,Community Support Service
Toronto,Hospice Toronto,Community Support Service
Guelph,Hospice Wellington,Community Support Service
Huron East,Huron Hospice Volunteer Service,Community Support Service
London,Hutton House Association for Adults With Disabilities,Community Support Service
Kingston,Rural Ottawa South Support Services,Community Support Service
Mississauga,Ukrainian Home for the Aged Op as Ivan Franko Home,Community Support Service
Ottawa,Jewish Family Services of Ottawa-Carleton,Community Support Service
Milton,Joyce Scott Non-Profit Homes Inc.,Community Support Service
Lakeshore,Community Support Centre of Essex County,Community Support Service
Halton Hills,Links2care (Georgetown),Community Support Service
Galway-Cavendish-Harv,Lovesick Lake Native Women's Association,Community Support Service
North Glengarry,Maxville Manor,Community Support Service
London,The Women's Christian Association of London,Community Support Service
Niagara Falls,Meals on Wheels Niagara Falls Ont. Inc.,Community Support Service
Port Colborne,Meals on Wheels Port Colborne Inc.,Community Support Service
Thorold,Meals on Wheels Thorold - St. Catharines,Community Support Service
Mississauga,M.I.C.B.A Forum Italia Community Services,Community Support Service
Mississippi Mills,Mills Community Support Corporation,Community Support Service
Perth East,"Mornington, Ellice and Milverton Wheels to Meals",Community Support Service
North Bay,Near North Palliative Care Network,Community Support Service
Niagara-on-the-Lake,Niagara-on-the Lake Community Palliative Care Service,Community Support Service
Toronto,North Yorkers for Disabled Persons Inc.,Community Support Service
Oakville,Oakville Senior Citizens Residence,Community Support Service
London,Over 55 (London) Inc.,Community Support Service
Ottawa,Parkway House,Community Support Service
Chatsworth,Participation Lodge - Grey Bruce,Community Support Service
Dryden,Patricia Region Senior Services Inc.,Community Support Service
Mississauga,Peel Cheshire Homes Inc. (Streetsville),Community Support Service
Whitby,Personal Attendant Care Inc.,Community Support Service
Kingston,"Queen's University, Faculty of Health Sciences",Community Support Service
Whitby,Regional Municipality of Durham,Community Support Service
Toronto,Richview Residence Supportive Housing Corporation,Community Support Service
Spanish,Serpent River First Nation,Community Support Service
Six Nations 40,Six Nations of the Grand River,Community Support Service
Timmins,Soins Palliatifs Horizon-Timmins INC./HORIZON-Timm Palliative Care Inc.,Community Support Service
Leamington,South Essex Community Council Incorporated,Community Support Service
Ottawa,South-East Ottawa Community Health Centre,Community Support Service
Toronto,St. Demetrius Supportive Care Services Corp.,Community Support Service
Peterborough,St. John's Retirement Home Inc.,Community Support Service
Hamilton,St. Joseph's Health System - St. Joseph's Villa (Dundas),Community Support Service
Greater Sudbury,Sudbury Finnish Rest Home Society Inc.,Community Support Service
Parry Sound,The Board of Management of the District of Parry Sound,Community Support Service
Kitchener,K-W Working Centre for Unemployed,Community Support Service
Waterloo,Community Support Connections - Meals on Wheels and More,Community Support Service
Barrie,"the Canadian Red Cross Society, Simcoe County Branch",Community Support Service
Sarnia,"the Canadian Red Cross, Ontario Zone, Sarnia-Lambton Branch",Community Support Service
Cambridge,The Corporation of the City of Cambridge,Community Support Service
Kitchener,Corporation of the City of Kitchener,Community Support Service
Mississauga,The Corporation of the City of Mississauga,Community Support Service
Waterloo,The Corporation of the City of Waterloo,Community Support Service
Toronto,The Good Neighbours' Club,Community Support Service
Toronto,The Governing Council of the Salv Army in Cda(meighen Retirement RES.),Community Support Service
Ottawa,The Hospice at May Court,Community Support Service
Ottawa,The Olde Forge Community Resource Centre,Community Support Service
Toronto,True Davidson Meals on Wheels (East York) Inc.,Community Support Service
Brampton,United Achievers Community Services,Community Support Service
Toronto,University of Toronto,Community Support Service
Thunder Bay,Victorian Order of Nurses,Community Support Service
Mississauga,Victorian Order of Nurses for Canada - Simcoe Branch,Community Support Service
Toronto,Volunteer Centre of Toronto,Community Support Service
Dryden,Wabigoon Lake Ojibway Nation,Community Support Service
Muskoka Lakes,Wahta Mohawks,Community Support Service
Hamilton,Welcome Inn Community Centre of Hamilton,Community Support Service
South Dundas,Williamsburg Non-Profit Housing Corporation,Community Support Service
Haldimand County,Mississaugas of the New Credit First Nation,Community Support Service
Temiskaming Shores,Timiskaming Home Support - Soutien à Domicile,Community Support Service
South Dundas,Home Support Services - Morrisburg and District,Community Support Service
Prince Edward,Hospice Prince Edward,Community Support Service
Listowel,North Perth Community Hospice Inc.,Community Support Service
St. Thomas,Alzheimer Society of Elgin-St. Thomas,Community Support Service
Kemptville,Beth Donovan Hospice,Community Support Service
Ottawa,Carefor Health and Community Services  - Ottawa-Carleton Branch,Community Support Service
Dryden,Dryden Aboriginal Women's Resource Centre,Community Support Service
French River,Dokis First Nation,Community Support Service
Thunder Bay,Hagi Community Services for Independence,Community Support Service
Hamilton,Macassa Lodge Adult Day Program,Community Support Service
Toronto,Les Centres D'accueil Heritage,Community Support Service
Prince Edward,Alzheimer Society of Prince Edward County,Community Support Service
St. Thomas,Corporation of the County of Elgin,Community Support Service
Port Carling,Shawanga First Nation,Community Support Service
Hamilton,Von Canada-Ontario (Hamilton Site),Community Support Service
Red Lake,Northern Chiefs Tribal Council,Community Support Service
Newmarket,The Canadian Hearing Society - York Region,Community Support Service
Georgina,Chippewas of Georgina Island,Community Support Service
Newmarket,The Canadian Hearing Society - Simcoe County,Community Support Service
Toronto,Circle of Home Care Services (Toronto),Community Support Service
Toronto,North York Seniors Centre,Community Support Service
Toronto,Better Living Health and Community,Community Support Service
Cambridge,Fairview Mennonite Home,Community Support Service
Toronto,Ontario Association of Residents' Councils,Community Support Service
Hamilton,Wesley Urban Ministries Inc.,Community Support Service
St. Catharines,Canadian Red Cross Society Ontario Zone (The) - Niagara Five Branches,Community Support Service
Hagersville,Haldimand-Norfolk Community Senior Support Services Inc.,Community Support Service
Brantford,Canadian Deafblind and Rubella Association (Ontario Chapter) Inc.,Community Support Service
Hamilton,Conway Opportunity Homes,Community Support Service
Hamilton,Mcmaster University,Community Support Service
St. Catharines,Hospice Niagara,Community Support Service
Brampton,Peel Cheshire Homes Inc. (Brampton),Community Support Service
Mississauga,India Rainbow Community Services of Peel,Community Support Service
Milton,Milton Meals on Wheels,Community Support Service
Shelburne,Corporation of the County of Dufferin-Oaks Home for Senior Citizens,Community Support Service
Burlington,Halton Cheshire Homes Inc.,Community Support Service
Brampton,Regional Municipality of Peel,Community Support Service
Kitchener,Regional Municipality of Waterloo - Sunnyside Home,Community Support Service
Halton Hills,The Corporation of the Town of Halton Hills,Community Support Service
Renfrew,RENFREW AND AREA SENIORs' HOME SUPPORT INC.,Community Support Service
Ottawa,City of Ottawa,Community Support Service
Arnprior,"Arnprior, Braeside, Mcnab Seniors at Home Program Inc.",Community Support Service
Deseronto,Mohawks of the Bay of Quinte,Community Support Service
Pembroke,County of Renfrew - Bonnechere Manor,Community Support Service
Prince Edward,The Prince Edward County Community Care for Seniors Association,Community Support Service
Barrie,Canadian Red Cross Society-Community Health Services-Cornwall,Community Support Service
Deep River,North Renfrew Long-Term Care Services Inc.,Community Support Service
Peawanuck,Weenusk First Nation,Community Support Service
Northeast Manitoulin,Mnaamodzawin Health Services Inc.,Community Support Service
Timmins,Wabun Tribal Council,Community Support Service
Kirkland Lake,Timiskaming Palliative Care Network,Community Support Service
